KOD;COMPONENT NAME;DESCRIPTION
SW05;2. Process Tank Kapağı Açık Konumda Switch;Provides mechanical position feedback for 2. Process Tank Kapağı Açık Konumda Switch. Connected to driven equipment and PLC digital input.
SW06;2. Process Tank Kapağı Kapalı Konumda Switch;Provides mechanical position feedback for 2. Process Tank Kapağı Kapalı Konumda Switch. Connected to driven equipment and PLC digital input.
SW07;3. Process Tank Kapağı Açık Konumda Switch;Provides mechanical position feedback for 3. Process Tank Kapağı Açık Konumda Switch. Connected to driven equipment and PLC digital input.
SW08;3. Process Tank Kapağı Kapalı Konumda Switch;Provides mechanical position feedback for 3. Process Tank Kapağı Kapalı Konumda Switch. Connected to driven equipment and PLC digital input.
SW09;4. Process Tank Kapağı Açık Konumda Switch;Provides mechanical position feedback for 4. Process Tank Kapağı Açık Konumda Switch. Connected to driven equipment and PLC digital input.
SW10;4. Process Tank Kapağı Kapalı Konumda Switch;Provides mechanical position feedback for 4. Process Tank Kapağı Kapalı Konumda Switch. Connected to driven equipment and PLC digital input.
SW11;Basket 1. Pozisyon Switch;Provides mechanical position feedback for Basket 1. Pozisyon Switch. Connected to driven equipment and PLC digital input.
SW12;Basket 2. Pozisyon Switch;Provides mechanical position feedback for Basket 2. Pozisyon Switch. Connected to driven equipment and PLC digital input.
SW13;1. Flow Switch;Provides mechanical position feedback for 1. Flow Switch. Connected to driven equipment and PLC digital input.
SW14;2. Flow Switch;Provides mechanical position feedback for 2. Flow Switch. Connected to driven equipment and PLC digital input.
SW15;3. Flow Switch;Provides mechanical position feedback for 3. Flow Switch. Connected to driven equipment and PLC digital input.
SW16;4. Flow Switch;Provides mechanical position feedback for 4. Flow Switch. Connected to driven equipment and PLC digital input.
SW17;xxx Switch;Provides mechanical position feedback for xxx Switch. Connected to driven equipment and PLC digital input.
SW18;Cell Kapağı Kontrol Switch;Provides mechanical position feedback for Cell Kapağı Kontrol Switch. Connected to driven equipment and PLC digital input.
SW19;xxx Switch;Provides mechanical position feedback for xxx Switch. Connected to driven equipment and PLC digital input.
SW20;xxx Switch;Provides mechanical position feedback for xxx Switch. Connected to driven equipment and PLC digital input.
PPS01;Ana Cell Lid Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for Ana Cell Lid Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS02;Ana Cell Lid Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for Ana Cell Lid Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS03;1. Process Tank 1. Yönlendirme Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 1. Process Tank 1. Yönlendirme Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS04;1. Process Tank 1. Yönlendirme Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 1. Process Tank 1. Yönlendirme Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS05;1. Process Tank 2. Yönlendirme Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 1. Process Tank 2. Yönlendirme Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS06;1. Process Tank 2. Yönlendirme Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 1. Process Tank 2. Yönlendirme Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS07;2. Process Tank 1. Yönlendirme Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 2. Process Tank 1. Yönlendirme Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS08;2. Process Tank 1. Yönlendirme Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 2. Process Tank 1. Yönlendirme Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS09;2. Process Tank 2. Yönlendirme Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 2. Process Tank 2. Yönlendirme Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS10;2. Process Tank 2. Yönlendirme Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 2. Process Tank 2. Yönlendirme Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS11;Cell Discharge Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for Cell Discharge Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS12;Cell Discharge Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for Cell Discharge Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS13;1. Process Tank Lift Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 1. Process Tank Lift Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS14;1. Process Tank Lift Pistonu Ara Sensor;Provides pneumatic cylinder position feedback for 1. Process Tank Lift Pistonu Ara Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS15;1. Process Tank Lift Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 1. Process Tank Lift Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS16;2. Process Tank Lift Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 2. Process Tank Lift Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS17;2. Process Tank Lift Pistonu Ara Sensor;Provides pneumatic cylinder position feedback for 2. Process Tank Lift Pistonu Ara Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS18;2. Process Tank Lift Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 2. Process Tank Lift Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS19;3. Process Tank Lift Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 3. Process Tank Lift Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS20;3. Process Tank Lift Pistonu Ara Sensor;Provides pneumatic cylinder position feedback for 3. Process Tank Lift Pistonu Ara Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS21;3. Process Tank Lift Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 3. Process Tank Lift Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS22;4. Process Tank Lift Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 4. Process Tank Lift Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS23;4. Process Tank Lift Pistonu Ara Sensor;Provides pneumatic cylinder position feedback for 4. Process Tank Lift Pistonu Ara Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS24;4. Process Tank Lift Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 4. Process Tank Lift Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS25;3. Process Tank 1. Yönlendirme Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 3. Process Tank 1. Yönlendirme Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS26;3. Process Tank 1. Yönlendirme Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 3. Process Tank 1. Yönlendirme Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS27;3. Process Tank 2. Yönlendirme Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for 3. Process Tank 2. Yönlendirme Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS28;3. Process Tank 2. Yönlendirme Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for 3. Process Tank 2. Yönlendirme Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS29;xxx Pistonu Açık Sensor;Provides pneumatic cylinder position feedback for xxx Pistonu Açık Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PPS30;xxx Pistonu Kapalı Sensor;Provides pneumatic cylinder position feedback for xxx Pistonu Kapalı Sensor. Connected to cylinder valve, solenoid and PLC digital input.
PS05;Giriş Su Basınç Sensor;Measures or monitors process pressure for Giriş Su Basınç Sensor. Connected to line, pump/valve and PLC input circuit.
PS06;Giriş Hava Basıncı Basınç Sensor;Measures or monitors process pressure for Giriş Hava Basıncı Basınç Sensor. Connected to line, pump/valve and PLC input circuit.
TC01;1. Process Tank Temperature Transmitter;Measures process temperature for 1. Process Tank Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC02;2. Process Tank Temperature Transmitter;Measures process temperature for 2. Process Tank Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC03;3. Process Tank Temperature Transmitter;Measures process temperature for 3. Process Tank Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC04;4. Process Tank Temperature Transmitter;Measures process temperature for 4. Process Tank Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC05;1. Drying Temperature Transmitter;Measures process temperature for 1. Drying Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC06;2. Drying Temperature Transmitter;Measures process temperature for 2. Drying Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC07;Cell İçi Temperature Transmitter;Measures process temperature for Cell İçi Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC08;xxx Temperature Transmitter;Measures process temperature for xxx Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC09;xxx Temperature Transmitter;Measures process temperature for xxx Temperature Transmitter. Connected to PLC analog input and heat control circuit.
TC10;xxx Temperature Transmitter;Measures process temperature for xxx Temperature Transmitter. Connected to PLC analog input and heat control circuit.
PS01;1. Proses Pump Basınç Sensor ( 4-20 mA);Measures or monitors process pressure for 1. Proses Pump Basınç Sensor ( 4-20 mA). Connected to line, pump/valve and PLC input circuit.
PS02;2. Proses Pump Basınç Sensor ( 4-20 mA);Measures or monitors process pressure for 2. Proses Pump Basınç Sensor ( 4-20 mA). Connected to line, pump/valve and PLC input circuit.
PS03;3. Proses Pump Basınç Sensor ( 4-20 mA);Measures or monitors process pressure for 3. Proses Pump Basınç Sensor ( 4-20 mA). Connected to line, pump/valve and PLC input circuit.
PS04;4. Proses Pump Basınç Sensor ( 4-20 mA);Measures or monitors process pressure for 4. Proses Pump Basınç Sensor ( 4-20 mA). Connected to line, pump/valve and PLC input circuit.
PS05;Cell İçi Vakum Sensor ( 4-20 mA);Measures or monitors process pressure for Cell İçi Vakum Sensor ( 4-20 mA). Connected to line, pump/valve and PLC input circuit.
PS06;Giriş Su Basınç Sensor ( 4-20 mA);Measures or monitors process pressure for Giriş Su Basınç Sensor ( 4-20 mA). Connected to line, pump/valve and PLC input circuit.
PS07;Giriş Hava Basınç Sensor ( 4-20 mA);Measures or monitors process pressure for Giriş Hava Basınç Sensor ( 4-20 mA). Connected to line, pump/valve and PLC input circuit.
PS08;1. Pressure Switch;Measures or monitors process pressure for 1. Pressure Switch. Connected to line, pump/valve and PLC input circuit.
PS09;2. Pressure Switch;Measures or monitors process pressure for 2. Pressure Switch. Connected to line, pump/valve and PLC input circuit.
PS10;xxxx Sensor;Measures or monitors process pressure for xxxx Sensor. Connected to line, pump/valve and PLC input circuit.
PHS01;1. Process Tank pH Sensor;Measures process pH for 1. Process Tank pH Sensor. Connected to dosing/process tank and PLC analog input.
PHS02;2. Process Tank pH Sensor;Measures process pH for 2. Process Tank pH Sensor. Connected to dosing/process tank and PLC analog input.
PHS03;3. Process Tank pH Sensor;Measures process pH for 3. Process Tank pH Sensor. Connected to dosing/process tank and PLC analog input.
PHS04;4. Process Tank pH Sensor;Measures process pH for 4. Process Tank pH Sensor. Connected to dosing/process tank and PLC analog input.
PHS05;Wash Hattı pH Sensor;Measures process pH for Wash Hattı pH Sensor. Connected to dosing/process tank and PLC analog input.
CS01;1. Process Tank İletkenlik Sensor;Measures process conductivity for 1. Process Tank İletkenlik Sensor. Connected to process tank, dosing line and PLC analog input.
CS02;2. Process Tank İletkenlik Sensor;Measures process conductivity for 2. Process Tank İletkenlik Sensor. Connected to process tank, dosing line and PLC analog input.
CS03;3. Process Tank İletkenlik Sensor;Measures process conductivity for 3. Process Tank İletkenlik Sensor. Connected to process tank, dosing line and PLC analog input.
CS04;4. Process Tank İletkenlik Sensor;Measures process conductivity for 4. Process Tank İletkenlik Sensor. Connected to process tank, dosing line and PLC analog input.
CS05;xxxx İletkenlik Sensor;Measures process conductivity for xxxx İletkenlik Sensor. Connected to process tank, dosing line and PLC analog input.
V01;1. Proses Pump Suction Actuator Valve valve;Controls flow routing or isolation for 1. Proses Pump Suction Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V02;2. Proses Pump Suction Actuator Valve valve;Controls flow routing or isolation for 2. Proses Pump Suction Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V03;3. Proses Pump Suction Actuator Valve valve;Controls flow routing or isolation for 3. Proses Pump Suction Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V04;4. Proses Pump Suction Actuator Valve valve;Controls flow routing or isolation for 4. Proses Pump Suction Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V05;Conta Şişirme Aktüator Valve valve;Controls flow routing or isolation for Conta Şişirme Aktüator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V06;Conta Söndürme Aktüator Valve valve;Controls flow routing or isolation for Conta Söndürme Aktüator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V07;1. Drying Hattı Aktüator Valve valve;Controls flow routing or isolation for 1. Drying Hattı Aktüator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V08;2. Drying Hattı Aktüator Valve valve;Controls flow routing or isolation for 2. Drying Hattı Aktüator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V09;Cell Drain Actuator Valve valve;Controls flow routing or isolation for Cell Drain Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V10;Cell Suction Actuator Valve valve;Controls flow routing or isolation for Cell Suction Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V11;Proses Ana Geri Dönüş Actuator Valve valve;Controls flow routing or isolation for Proses Ana Geri Dönüş Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V12;Hat Temizleme Actuator Valve valve;Controls flow routing or isolation for Hat Temizleme Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V13;By-Pass Hattı Actuator Valve valve;Controls flow routing or isolation for By-Pass Hattı Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V14;Ana Wash Nozzle Actuator Valve valve;Controls flow routing or isolation for Ana Wash Nozzle Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V15;Suction Kollektör Temizleme Actuator Valve valve;Controls flow routing or isolation for Suction Kollektör Temizleme Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V16;1. Proses Geri Dönüş Actuator Valve valve;Controls flow routing or isolation for 1. Proses Geri Dönüş Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V17;2. Proses Geri Dönüş Actuator Valve valve;Controls flow routing or isolation for 2. Proses Geri Dönüş Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V18;3. Proses Geri Dönüş Actuator Valve valve;Controls flow routing or isolation for 3. Proses Geri Dönüş Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V19;4. Proses Geri Dönüş Actuator Valve valve;Controls flow routing or isolation for 4. Proses Geri Dönüş Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V20;1. Process Tank Oto. Dolum Actuator Valve valve;Controls flow routing or isolation for 1. Process Tank Oto. Dolum Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V21;2. Process Tank Oto. Dolum Actuator Valve valve;Controls flow routing or isolation for 2. Process Tank Oto. Dolum Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V22;3. Process Tank Oto. Dolum Actuator Valve valve;Controls flow routing or isolation for 3. Process Tank Oto. Dolum Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V23;4. Process Tank Oto. Dolum Actuator Valve valve;Controls flow routing or isolation for 4. Process Tank Oto. Dolum Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V24;1. Process Tank Kaskat Actuator Valve valve;Controls flow routing or isolation for 1. Process Tank Kaskat Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V25;2. Process Tank Kaskat Actuator Valve valve;Controls flow routing or isolation for 2. Process Tank Kaskat Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V26;3. Process Tank Kaskat Actuator Valve valve;Controls flow routing or isolation for 3. Process Tank Kaskat Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V27;1. Tank Drain Actuator Valve valve;Controls flow routing or isolation for 1. Tank Drain Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V28;2. Tank Drain Actuator Valve valve;Controls flow routing or isolation for 2. Tank Drain Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V29;3. Tank Drain Actuator Valve valve;Controls flow routing or isolation for 3. Tank Drain Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V30;Arıtma Dönüş Actuator Valve valve;Controls flow routing or isolation for Arıtma Dönüş Actuator Valve valve. Connected to process line, actuator/solenoid and PLC digital output.
V31;1. Process Tank Discharge Valve Aç Valve;Controls flow routing or isolation for 1. Process Tank Discharge Valve Aç Valve. Connected to process line, actuator/solenoid and PLC digital output.
V32;1. Process Tank Discharge Valve Kapat Valve;Controls flow routing or isolation for 1. Process Tank Discharge Valve Kapat Valve. Connected to process line, actuator/solenoid and PLC digital output.
V33;2. Process Tank Discharge Valve Aç Valve;Controls flow routing or isolation for 2. Process Tank Discharge Valve Aç Valve. Connected to process line, actuator/solenoid and PLC digital output.
V34;2. Process Tank Discharge Valve Kapat Valve;Controls flow routing or isolation for 2. Process Tank Discharge Valve Kapat Valve. Connected to process line, actuator/solenoid and PLC digital output.
V35;3. Process Tank Discharge Valve Aç Valve;Controls flow routing or isolation for 3. Process Tank Discharge Valve Aç Valve. Connected to process line, actuator/solenoid and PLC digital output.
V36;3. Process Tank Discharge Valve Kapat Valve;Controls flow routing or isolation for 3. Process Tank Discharge Valve Kapat Valve. Connected to process line, actuator/solenoid and PLC digital output.
V37;4. Process Tank Discharge Valve Aç Valve;Controls flow routing or isolation for 4. Process Tank Discharge Valve Aç Valve. Connected to process line, actuator/solenoid and PLC digital output.
V38;4. Process Tank Discharge Valve Kapat Valve;Controls flow routing or isolation for 4. Process Tank Discharge Valve Kapat Valve. Connected to process line, actuator/solenoid and PLC digital output.
V39;Cell Boşaltma Pistonu Valve Aç Valve;Controls flow routing or isolation for Cell Boşaltma Pistonu Valve Aç Valve. Connected to process line, actuator/solenoid and PLC digital output.
V40;Cell Boşaltma Pistonu Valve Kapat Valve;Controls flow routing or isolation for Cell Boşaltma Pistonu Valve Kapat Valve. Connected to process line, actuator/solenoid and PLC digital output.
V41;Basket Alma Kontrol Valve 1;Controls flow routing or isolation for Basket Alma Kontrol Valve 1. Connected to process line, actuator/solenoid and PLC digital output.
V42;Basket Alma Kontol Valve 2;Controls flow routing or isolation for Basket Alma Kontol Valve 2. Connected to process line, actuator/solenoid and PLC digital output.
V43;1. Process Tankı Lid Pistonu Valve;Controls flow routing or isolation for 1. Process Tankı Lid Pistonu Valve. Connected to process line, actuator/solenoid and PLC digital output.
V44;2. Process Tankı Lid Pistonu Valve;Controls flow routing or isolation for 2. Process Tankı Lid Pistonu Valve. Connected to process line, actuator/solenoid and PLC digital output.
V45;1. Process Tankı Lid Pistonu Valve;Controls flow routing or isolation for 1. Process Tankı Lid Pistonu Valve. Connected to process line, actuator/solenoid and PLC digital output.
V46;2. Process Tankı Lid Pistonu Valve;Controls flow routing or isolation for 2. Process Tankı Lid Pistonu Valve. Connected to process line, actuator/solenoid and PLC digital output.
V47;Ana Valve;Controls flow routing or isolation for Ana Valve. Connected to process line, actuator/solenoid and PLC digital output.
V48;Lid Aç Valve;Controls flow routing or isolation for Lid Aç Valve. Connected to process line, actuator/solenoid and PLC digital output.
V49;Lid Kapat Valve;Controls flow routing or isolation for Lid Kapat Valve. Connected to process line, actuator/solenoid and PLC digital output.
V50;1. Process Tankndan Pumpya Suction Actuator Valve Valve;Controls flow routing or isolation for 1. Process Tankndan Pumpya Suction Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V51;2. Process Tankndan Pumpya Suction Actuator Valve Valve;Controls flow routing or isolation for 2. Process Tankndan Pumpya Suction Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V52;3. Process Tankndan Pumpya Suction Actuator Valve Valve;Controls flow routing or isolation for 3. Process Tankndan Pumpya Suction Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V53;4. Process Tankndan Pumpya Suction Actuator Valve Valve;Controls flow routing or isolation for 4. Process Tankndan Pumpya Suction Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V54;1. Cellden Pumpya Suction Actuator Valve Valve;Controls flow routing or isolation for 1. Cellden Pumpya Suction Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V55;2. Cellden Pumpya Suction Actuator Valve Valve;Controls flow routing or isolation for 2. Cellden Pumpya Suction Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V56;3. Cellden Pumpya Suction Actuator Valve Valve;Controls flow routing or isolation for 3. Cellden Pumpya Suction Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V57;4. Cellden Pumpya Suction Actuator Valve Valve;Controls flow routing or isolation for 4. Cellden Pumpya Suction Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V58;Egzos Hattı Actuator Valve Valve;Controls flow routing or isolation for Egzos Hattı Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V59;1. Proses Hattı Actuator Valve Valve;Controls flow routing or isolation for 1. Proses Hattı Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
V60;2. Proses Hattı Actuator Valve Valve;Controls flow routing or isolation for 2. Proses Hattı Actuator Valve Valve. Connected to process line, actuator/solenoid and PLC digital output.
