KOD;KOMPONENTENNAME;BESCHREIBUNG
SWB04;4. Proses Pumpe Saugung Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 4. Proses Pumpe Saugung Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB05;Conta Şişirme Aktüator Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Conta Şişirme Aktüator Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB06;Conta Söndürme Aktüator Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Conta Söndürme Aktüator Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB07;1. Trocknung Hattı Aktüator Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Trocknung Hattı Aktüator Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB08;2. Trocknung Hattı Aktüator Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Trocknung Hattı Aktüator Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB09;Zelle Ablauf Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Zelle Ablauf Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB10;Zelle Saugung Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Zelle Saugung Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB11;Proses Ana Geri Dönüş Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Proses Ana Geri Dönüş Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB12;Hat Temizleme Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Hat Temizleme Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB13;By-Pass Hattı Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für By-Pass Hattı Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB14;Ana Yıkama Nozul Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Ana Yıkama Nozul Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB15;Saugung Kollektör Temizleme Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Saugung Kollektör Temizleme Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB16;1. Proses Geri Dönüş Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Proses Geri Dönüş Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB17;2. Proses Geri Dönüş Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Proses Geri Dönüş Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB18;3. Proses Geri Dönüş Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 3. Proses Geri Dönüş Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB19;4. Proses Geri Dönüş Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 4. Proses Geri Dönüş Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB20;1. Prozesstank Oto. Dolum Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Prozesstank Oto. Dolum Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB21;2. Prozesstank Oto. Dolum Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Prozesstank Oto. Dolum Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB22;3. Prozesstank Oto. Dolum Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 3. Prozesstank Oto. Dolum Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB23;4. Prozesstank Oto. Dolum Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 4. Prozesstank Oto. Dolum Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB24;1. Prozesstank Kaskat Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Prozesstank Kaskat Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB25;2. Prozesstank Kaskat Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Prozesstank Kaskat Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB26;3. Prozesstank Kaskat Stellantrieb Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 3. Prozesstank Kaskat Stellantrieb Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB27;1. Tank Ablauf Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Tank Ablauf Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB28;2. Tank Ablauf Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Tank Ablauf Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB29;3. Tank Ablauf Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 3. Tank Ablauf Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB30;Arıtma Dönüş Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Arıtma Dönüş Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB31;1. Eşanjör Gidiş Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Eşanjör Gidiş Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB32;1. Tank İçi Yıkama Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Tank İçi Yıkama Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB33;2. Tank İçi Yıkama Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Tank İçi Yıkama Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB34;3. Tank İçi Yıkama Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 3. Tank İçi Yıkama Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB35;Şebeke Suyu ile Durulama Aktuatör Ventil Schaltbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Şebeke Suyu ile Durulama Aktuatör Ventil Schaltbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB36;Korb Alma Kontrol Schaltbox 1;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Korb Alma Kontrol Schaltbox 1. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB37;Korb Alma Kontrol Schaltbox 2;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Korb Alma Kontrol Schaltbox 2. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB38;1. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Switchbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Switchbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB39;2. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Switchbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Switchbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB40;1. Zelleden Pumpeya Saugung Stellantrieb Ventil Switchbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Zelleden Pumpeya Saugung Stellantrieb Ventil Switchbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB41;2. Zelleden Pumpeya Saugung Stellantrieb Ventil Switchbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Zelleden Pumpeya Saugung Stellantrieb Ventil Switchbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB42;1. Proses Hattı Stellantrieb Ventil Switchbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 1. Proses Hattı Stellantrieb Ventil Switchbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB43;2. Proses Hattı Stellantrieb Ventil Switchbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für 2. Proses Hattı Stellantrieb Ventil Switchbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB44;Hat Temizleme Stellantrieb Ventil Switchbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Hat Temizleme Stellantrieb Ventil Switchbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SWB45;Egzos Hattı Stellantrieb Ventil Switchbox;Erfasst Offen/Geschlossen-Rückmeldung des Feldstellantriebs für Egzos Hattı Stellantrieb Ventil Switchbox. Angeschlossen an Stellventil, Magnetventil und SPS-Digitaleingang.
SW01;Zelle Deckel Açık Konumda Schalter;Liefert mechanische Positionsrückmeldung für Zelle Deckel Açık Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW02;Zelle Deckel Kapalı Konumda Schalter;Liefert mechanische Positionsrückmeldung für Zelle Deckel Kapalı Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW03;1. Prozesstank Kapağı Açık Konumda Schalter;Liefert mechanische Positionsrückmeldung für 1. Prozesstank Kapağı Açık Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW04;1. Prozesstank Kapağı Kapalı Konumda Schalter;Liefert mechanische Positionsrückmeldung für 1. Prozesstank Kapağı Kapalı Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW05;2. Prozesstank Kapağı Açık Konumda Schalter;Liefert mechanische Positionsrückmeldung für 2. Prozesstank Kapağı Açık Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW06;2. Prozesstank Kapağı Kapalı Konumda Schalter;Liefert mechanische Positionsrückmeldung für 2. Prozesstank Kapağı Kapalı Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW07;3. Prozesstank Kapağı Açık Konumda Schalter;Liefert mechanische Positionsrückmeldung für 3. Prozesstank Kapağı Açık Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW08;3. Prozesstank Kapağı Kapalı Konumda Schalter;Liefert mechanische Positionsrückmeldung für 3. Prozesstank Kapağı Kapalı Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW09;4. Prozesstank Kapağı Açık Konumda Schalter;Liefert mechanische Positionsrückmeldung für 4. Prozesstank Kapağı Açık Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW10;4. Prozesstank Kapağı Kapalı Konumda Schalter;Liefert mechanische Positionsrückmeldung für 4. Prozesstank Kapağı Kapalı Konumda Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW11;Korb 1. Pozisyon Schalter;Liefert mechanische Positionsrückmeldung für Korb 1. Pozisyon Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW12;Korb 2. Pozisyon Schalter;Liefert mechanische Positionsrückmeldung für Korb 2. Pozisyon Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW13;1. Flow Schalter;Liefert mechanische Positionsrückmeldung für 1. Flow Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW14;2. Flow Schalter;Liefert mechanische Positionsrückmeldung für 2. Flow Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW15;3. Flow Schalter;Liefert mechanische Positionsrückmeldung für 3. Flow Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW16;4. Flow Schalter;Liefert mechanische Positionsrückmeldung für 4. Flow Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW17;xxx Schalter;Liefert mechanische Positionsrückmeldung für xxx Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW18;Zelle Kapağı Kontrol Schalter;Liefert mechanische Positionsrückmeldung für Zelle Kapağı Kontrol Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW19;xxx Schalter;Liefert mechanische Positionsrückmeldung für xxx Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
SW20;xxx Schalter;Liefert mechanische Positionsrückmeldung für xxx Schalter. Angeschlossen an Aggregat und SPS-Digitaleingang.
PPS01;Ana Zelle Deckel Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für Ana Zelle Deckel Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS02;Ana Zelle Deckel Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für Ana Zelle Deckel Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS03;1. Prozesstank 1. Yönlendirme Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 1. Prozesstank 1. Yönlendirme Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS04;1. Prozesstank 1. Yönlendirme Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 1. Prozesstank 1. Yönlendirme Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS05;1. Prozesstank 2. Yönlendirme Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 1. Prozesstank 2. Yönlendirme Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS06;1. Prozesstank 2. Yönlendirme Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 1. Prozesstank 2. Yönlendirme Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS07;2. Prozesstank 1. Yönlendirme Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 2. Prozesstank 1. Yönlendirme Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS08;2. Prozesstank 1. Yönlendirme Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 2. Prozesstank 1. Yönlendirme Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS09;2. Prozesstank 2. Yönlendirme Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 2. Prozesstank 2. Yönlendirme Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS10;2. Prozesstank 2. Yönlendirme Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 2. Prozesstank 2. Yönlendirme Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS11;Zelle Tahliye Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für Zelle Tahliye Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS12;Zelle Tahliye Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für Zelle Tahliye Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS13;1. Prozesstank Lift Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 1. Prozesstank Lift Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS14;1. Prozesstank Lift Pistonu Ara Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 1. Prozesstank Lift Pistonu Ara Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS15;1. Prozesstank Lift Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 1. Prozesstank Lift Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS16;2. Prozesstank Lift Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 2. Prozesstank Lift Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS17;2. Prozesstank Lift Pistonu Ara Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 2. Prozesstank Lift Pistonu Ara Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS18;2. Prozesstank Lift Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 2. Prozesstank Lift Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS19;3. Prozesstank Lift Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 3. Prozesstank Lift Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS20;3. Prozesstank Lift Pistonu Ara Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 3. Prozesstank Lift Pistonu Ara Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS21;3. Prozesstank Lift Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 3. Prozesstank Lift Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS22;4. Prozesstank Lift Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 4. Prozesstank Lift Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS23;4. Prozesstank Lift Pistonu Ara Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 4. Prozesstank Lift Pistonu Ara Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS24;4. Prozesstank Lift Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 4. Prozesstank Lift Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS25;3. Prozesstank 1. Yönlendirme Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 3. Prozesstank 1. Yönlendirme Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS26;3. Prozesstank 1. Yönlendirme Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 3. Prozesstank 1. Yönlendirme Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS27;3. Prozesstank 2. Yönlendirme Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 3. Prozesstank 2. Yönlendirme Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS28;3. Prozesstank 2. Yönlendirme Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für 3. Prozesstank 2. Yönlendirme Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS29;xxx Pistonu Açık Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für xxx Pistonu Açık Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PPS30;xxx Pistonu Kapalı Sensor;Liefert Pneumatikzylinder-Positionsrückmeldung für xxx Pistonu Kapalı Sensor. Angeschlossen an Zylinderventil, Magnetventil und SPS-Digitaleingang.
PS05;Giriş Su Basınç Sensor;Misst oder überwacht Prozessdruck für Giriş Su Basınç Sensor. Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS06;Giriş Hava Basıncı Basınç Sensor;Misst oder überwacht Prozessdruck für Giriş Hava Basıncı Basınç Sensor. Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
TC01;1. Prozesstank Temperaturfühler;Misst Prozesstemperatur für 1. Prozesstank Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC02;2. Prozesstank Temperaturfühler;Misst Prozesstemperatur für 2. Prozesstank Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC03;3. Prozesstank Temperaturfühler;Misst Prozesstemperatur für 3. Prozesstank Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC04;4. Prozesstank Temperaturfühler;Misst Prozesstemperatur für 4. Prozesstank Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC05;1. Trocknung Temperaturfühler;Misst Prozesstemperatur für 1. Trocknung Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC06;2. Trocknung Temperaturfühler;Misst Prozesstemperatur für 2. Trocknung Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC07;Zelle İçi Temperaturfühler;Misst Prozesstemperatur für Zelle İçi Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC08;xxx Temperaturfühler;Misst Prozesstemperatur für xxx Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC09;xxx Temperaturfühler;Misst Prozesstemperatur für xxx Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
TC10;xxx Temperaturfühler;Misst Prozesstemperatur für xxx Temperaturfühler. Angeschlossen an SPS-Analogeingang und Wärmeregelkreis.
PS01;1. Proses Pumpe Basınç Sensor ( 4-20 mA);Misst oder überwacht Prozessdruck für 1. Proses Pumpe Basınç Sensor ( 4-20 mA). Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS02;2. Proses Pumpe Basınç Sensor ( 4-20 mA);Misst oder überwacht Prozessdruck für 2. Proses Pumpe Basınç Sensor ( 4-20 mA). Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS03;3. Proses Pumpe Basınç Sensor ( 4-20 mA);Misst oder überwacht Prozessdruck für 3. Proses Pumpe Basınç Sensor ( 4-20 mA). Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS04;4. Proses Pumpe Basınç Sensor ( 4-20 mA);Misst oder überwacht Prozessdruck für 4. Proses Pumpe Basınç Sensor ( 4-20 mA). Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS05;Zelle İçi Vakum Sensor ( 4-20 mA);Misst oder überwacht Prozessdruck für Zelle İçi Vakum Sensor ( 4-20 mA). Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS06;Giriş Su Basınç Sensor ( 4-20 mA);Misst oder überwacht Prozessdruck für Giriş Su Basınç Sensor ( 4-20 mA). Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS07;Giriş Hava Basınç Sensor ( 4-20 mA);Misst oder überwacht Prozessdruck für Giriş Hava Basınç Sensor ( 4-20 mA). Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS08;1. Druckschalter;Misst oder überwacht Prozessdruck für 1. Druckschalter. Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS09;2. Druckschalter;Misst oder überwacht Prozessdruck für 2. Druckschalter. Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PS10;xxxx Sensor;Misst oder überwacht Prozessdruck für xxxx Sensor. Angeschlossen an Leitung, Pumpe/Ventil und SPS-Eingang.
PHS01;1. Prozesstank pH Sensor;Misst Prozess-pH für 1. Prozesstank pH Sensor. Angeschlossen an Dosierung/Prozesstank und SPS-Analogeingang.
PHS02;2. Prozesstank pH Sensor;Misst Prozess-pH für 2. Prozesstank pH Sensor. Angeschlossen an Dosierung/Prozesstank und SPS-Analogeingang.
PHS03;3. Prozesstank pH Sensor;Misst Prozess-pH für 3. Prozesstank pH Sensor. Angeschlossen an Dosierung/Prozesstank und SPS-Analogeingang.
PHS04;4. Prozesstank pH Sensor;Misst Prozess-pH für 4. Prozesstank pH Sensor. Angeschlossen an Dosierung/Prozesstank und SPS-Analogeingang.
PHS05;Yıkama Hattı pH Sensor;Misst Prozess-pH für Yıkama Hattı pH Sensor. Angeschlossen an Dosierung/Prozesstank und SPS-Analogeingang.
CS01;1. Prozesstank İletkenlik Sensor;Misst Prozessleitfähigkeit für 1. Prozesstank İletkenlik Sensor. Angeschlossen an Prozesstank, Dosierleitung und SPS-Analogeingang.
CS02;2. Prozesstank İletkenlik Sensor;Misst Prozessleitfähigkeit für 2. Prozesstank İletkenlik Sensor. Angeschlossen an Prozesstank, Dosierleitung und SPS-Analogeingang.
CS03;3. Prozesstank İletkenlik Sensor;Misst Prozessleitfähigkeit für 3. Prozesstank İletkenlik Sensor. Angeschlossen an Prozesstank, Dosierleitung und SPS-Analogeingang.
CS04;4. Prozesstank İletkenlik Sensor;Misst Prozessleitfähigkeit für 4. Prozesstank İletkenlik Sensor. Angeschlossen an Prozesstank, Dosierleitung und SPS-Analogeingang.
CS05;xxxx İletkenlik Sensor;Misst Prozessleitfähigkeit für xxxx İletkenlik Sensor. Angeschlossen an Prozesstank, Dosierleitung und SPS-Analogeingang.
V01;1. Proses Pumpe Saugung Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 1. Proses Pumpe Saugung Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
